street,lat1,lng1,lat2,lng2
Cardinal Medeiros Avenue,42.3676813,-71.090968,42.3677408,-71.0909338
Miller's River Littoral Way,42.3716073,-71.0657513,42.371458,-71.0658201
Michael Way,42.369702,-71.08967,42.369659,-71.089506
Leverett Connector,42.379771,-71.077521,42.3796581,-71.0774521
Gore Street,42.372927,-71.086185,42.372581,-71.085213
Dr. Paul Dudley White Path,42.3733234,-71.1332809,42.3730532,-71.1335858
Field Street,42.386464,-71.136973,42.386287,-71.136735
Traill Street,42.376057,-71.137003,42.37598,-71.136769
Pilgrim Street,42.3613141,-71.1027167,42.3613321,-71.1027357
Holland Street,42.402877,-71.126996,42.4030024,-71.1270658
Concord Avenue,42.3938504,-71.1687194,42.3944569,-71.1706506
Clement Circle,42.3813,-71.131249,42.38129,-71.131299
I 93,42.3925649,-71.0847581,42.3924109,-71.0846172
John F. Fitzgerald Expressway,42.3674824,-71.0616592,42.3701057,-71.0646433
Cushing Street,42.377201,-71.151892,42.376331,-71.151675
Arrow Street,42.37129,-71.115033,42.3715816,-71.1156742
Beacon Street,42.382337,-71.111385,42.3827852,-71.1119262
Dr. Paul Dudley White Path,42.3693554,-71.1258948,42.3692891,-71.1257868
Dunster Street,42.3732932,-71.1186736,42.3732611,-71.118719
Soldiers Field Road,42.367495,-71.118861,42.367612,-71.119113
Waverly Street,42.360821,-71.1450264,42.3607944,-71.1445062
Terminal Road,42.3917884,-71.1404611,42.3919171,-71.1410821
Western Avenue,42.363255,-71.134762,42.363284,-71.134558
Webster Avenue,42.3750909,-71.0950075,42.375283,-71.095062
Telford Street,42.362916,-71.137369,42.3636614,-71.1375238
Massachusetts Avenue,42.3731088,-71.1179073,42.3732447,-71.1183581
Cardinal Medeiros Avenue,42.3683758,-71.0905783,42.368798,-71.090339
Choate Road,42.380482,-71.158379,42.380487,-71.158178
Waverly Street,42.354733,-71.107751,42.354735,-71.107591
Highland Avenue,42.393292,-71.114898,42.39291,-71.114033
Cherry Street,42.364356,-71.097347,42.3644572,-71.0973138
Beech Path,42.3868506,-71.1475228,42.386799,-71.1474182
South Street,42.3741502,-71.0885041,42.3742732,-71.0895646
Dr. Paul Dudley White Path,42.357606,-71.073722,42.3576081,-71.0736533
W Harrington Memorial Way,42.369656,-71.088702,42.3699,-71.088627
Leverett Connector,42.3738225,-71.0711986,42.373981,-71.0714623
Fresh Pond Parkway,42.381936,-71.143775,42.382193,-71.143508
Taylor Street,42.3944401,-71.0894423,42.3951442,-71.0884715
Mooney Street,42.394672,-71.152194,42.394472,-71.151358
Bigelow Street,42.367533,-71.105819,42.367826,-71.105552
Concord Avenue,42.381532,-71.129541,42.381367,-71.129271
Brattle Street,42.376114,-71.125155,42.37623,-71.125646
Vassar Street,42.3593363,-71.0966933,42.359012,-71.0973472
Lowell Terrace,42.3959907,-71.1046183,42.3957688,-71.1041274
Medford Street,42.3941,-71.101838,42.394691,-71.102278
Albany Street,42.3574689,-71.1032135,42.3574998,-71.1031439
Foster Street,42.375849,-71.129202,42.375816,-71.128977
Norwood Avenue,42.3956682,-71.1030771,42.396713,-71.102385
US 3;SR 2,42.3729823,-71.1347663,42.372946,-71.13467
First Street,42.3693277,-71.0772299,42.3698659,-71.0771039
Union Street,42.370837,-71.094682,42.370559,-71.094817
Gurney Street,42.380037,-71.138286,42.3801,-71.138415
Ash Street,42.374861,-71.124884,42.375123,-71.124778
Sozio Rotary,42.3866177,-71.141194,42.3865772,-71.14115
Ringefield Street,42.393371,-71.127734,42.393924,-71.128364
Sherman Street,42.389269,-71.132635,42.389627,-71.132664
Gerry's Landing Road,42.3734539,-71.1352911,42.3732454,-71.1351877
Kirkland Road,42.376481,-71.111509,42.376644,-71.111484
Florence Street,42.3586683,-71.1138923,42.3581426,-71.1130356
Bay State Road,42.3871132,-71.1409769,42.387142,-71.140809
Memorial Drive,42.3661728,-71.1159128,42.366279,-71.115914
