street,lat1,lng1,lat2,lng2
Walden Square Road,42.389287,-71.132146,42.389506,-71.132114
Porter Square,42.3883113,-71.1190542,42.3882796,-71.1190768
Hovey Avenue,42.374645,-71.107881,42.375969,-71.107576
Memorial Drive,42.355838,-71.096387,42.3559066,-71.0961838
US 1,42.3701577,-71.0648913,42.3700778,-71.0651401
Massachusetts Avenue,42.3708614,-71.1138793,42.3711744,-71.1142833
Hubbard Avenue,42.388636,-71.127385,42.388466,-71.126285
Central Street,42.394473,-71.099198,42.394477,-71.099195
Dr. Paul Dudley White Path,42.356826,-71.1148988,42.3569976,-71.1150415
Ash Street,42.374186,-71.125571,42.373874,-71.12579
Soldiers Field Road,42.372321,-71.127653,42.372178,-71.127493
Harvard Street,42.367295,-71.098765,42.3669905,-71.0978512
Washington Street,42.3781367,-71.1070016,42.3781737,-71.1068378
Dr. Paul Dudley White Path,42.3599029,-71.0726753,42.3600255,-71.0726495
Washington Court,42.3652882,-71.0982857,42.365758,-71.098093
Webster Avenue,42.369085,-71.093092,42.369671,-71.093277
Broadway,42.3919935,-71.0923564,42.391871,-71.092172
Harvey Street,42.3971991,-71.1307829,42.397191,-71.130896
Alwife Brook Parkway,42.4026603,-71.135152,42.4027521,-71.1351135
Burch Street,42.401514,-71.14734,42.401733,-71.147453
Fresh Pond Lane,42.378169,-71.144818,42.378267,-71.144908
Soldiers Field Road,42.3678329,-71.1220177,42.367776,-71.1216463
Alewife Brook Parkway,42.3934521,-71.1407061,42.392756,-71.1409203
Dr. Paul Dudley White Path,42.3611361,-71.1160311,42.3612758,-71.1160569
Mount Auburn Street,42.3745226,-71.1278139,42.3744602,-71.1269436
Washington Street,42.386545,-71.171433,42.386545,-71.171321
Sixth Street,42.369644,-71.085273,42.370274,-71.085119
Prospect Street,42.373859,-71.097803,42.37389,-71.097782
Kendall Street,42.3637204,-71.0818685,42.3636985,-71.081882
Memorial Drive,42.3534358,-71.1067436,42.3534422,-71.1064347
Galileo Galilei Way,42.3634127,-71.0898073,42.3633136,-71.0898342
Memorial Drive,42.3698283,-71.1196796,42.3698104,-71.1203475
Cambridgepark Drive,42.3947468,-71.1405338,42.3947184,-71.141023
South Street,42.3745499,-71.0912454,42.3745286,-71.0911802
Concord Avenue,42.3957279,-71.1753322,42.394937,-71.1724256
Fresh Pond Paths,42.3831669,-71.1429921,42.3831922,-71.1429406
Fresh Pond Lane,42.37638,-71.143954,42.376508,-71.144042
Crawford Street,42.370943,-71.107275,42.371614,-71.106831
Ware Street,42.372823,-71.112949,42.3718342,-71.1133755
Cambridgepark Drive,42.3946917,-71.1449328,42.3946612,-71.1439078
Garden Street,42.383244,-71.128041,42.383419,-71.128308
Beech Path,42.387223,-71.1480861,42.3871616,-71.1480056
Broad Canal Street,42.3629779,-71.0823151,42.3629103,-71.0822623
New Street,42.387416,-71.140973,42.387698,-71.140865
Charlestown Avenue,42.3724596,-71.0704816,42.3721112,-71.0707409
Jackson Circle,42.3919504,-71.1354528,42.3919744,-71.1354476
Fresh Pond Parkway,42.383561,-71.142315,42.383977,-71.142049
John F. Fitzgerald Expressway,42.3704523,-71.0650477,42.3706008,-71.0652314
Vassal Lane,42.383448,-71.137772,42.383356,-71.137308
Gerry's Landing Road,42.3714669,-71.1336187,42.3714314,-71.1337063
Cambridge Parkway Bike Path,42.3669418,-71.0741964,42.3670087,-71.0741391
Thingvalla Avenue,42.376135,-71.153799,42.376124,-71.153627
Soldiers Field Road,42.3678987,-71.1218069,42.3679549,-71.1222725
Dr. Paul Dudley White Path,42.3647729,-71.0716459,42.3648121,-71.0714953
Dr. Paul Dudley White Path,42.3576229,-71.0735554,42.3576564,-71.073541
Dr. Paul Dudley White Path,42.3722942,-71.1271244,42.3721842,-71.1270419
Windsor Street,42.3642803,-71.0964649,42.3648547,-71.0962494
Tremont Street,42.369488,-71.099534,42.368903,-71.099962
Putnam Avenue,42.359123,-71.111067,42.358644,-71.110247
Cleveland Street,42.371517,-71.109156,42.371522,-71.109309
Mount Auburn Street,42.3748719,-71.1392722,42.3748349,-71.1389119
Dr. Paul Dudley White Path,42.3639907,-71.1408471,42.3639442,-71.1405252
Meadow Way,42.377418,-71.144871,42.377542,-71.144979
Coolidge Hill,42.373248,-71.138913,42.373467,-71.138932
Bellevue Avenue,42.385814,-71.126605,42.38594,-71.126225
Dr. Paul Dudley White Path,42.3517003,-71.1074241,42.3516784,-71.1073233
Norfolk Street,42.36819,-71.099239,42.368017,-71.099363
Mannix Circle,42.389654,-71.157843,42.389637,-71.157413
Dr. Paul Dudley White Path,42.3669269,-71.1352308,42.3669466,-71.1351886
Doc Linsky Way,42.3650925,-71.0827668,42.364976,-71.0817556
Linnaean Street,42.383854,-71.12278,42.384051,-71.122384
Monsignor O'Brien Highway,42.3714679,-71.0771155,42.3716378,-71.0775558
Massachusetts Avenue,42.3734771,-71.1187079,42.3735722,-71.1187765
Waverly Street,42.3607944,-71.1445062,42.3607823,-71.1442688
Beacon Street,42.3766261,-71.1043605,42.3771247,-71.1049509
Bryant Street,42.379659,-71.110483,42.379702,-71.110195
Albany Street,42.3581612,-71.1017634,42.3589794,-71.1001241
Bay State Road,42.3868444,-71.1409012,42.3869205,-71.1409198
River Street,42.364305,-71.107456,42.364537,-71.106755
Bright Road,42.390589,-71.160942,42.390834,-71.160897
Dickinson Street,42.3660033,-71.0937666,42.3663006,-71.0945324
Austin Street,42.3738349,-71.0690585,42.3737673,-71.0691933
Orrin Street,42.38375,-71.131358,42.384001,-71.131146
Memorial Drive,42.3534392,-71.1074908,42.3534358,-71.1071385
Alewife Brook Parkway,42.391084,-71.14135,42.3912766,-71.1412801
Grant Street,42.369858,-71.116632,42.369751,-71.116245
Terminal Road,42.3914625,-71.1417432,42.3907906,-71.1428179
Elmwood Street,42.398681,-71.127627,42.399054,-71.127214
Pearl Street,42.360584,-71.10711,42.360479,-71.107211
US 1,42.3721553,-71.0689033,42.3721622,-71.0687801
Bent Street,42.3670307,-71.0816315,42.367365,-71.084096
Dr. Paul Dudley White Path,42.3705913,-71.1265842,42.3705289,-71.12657
Dr. Paul Dudley White Path,42.3732507,-71.1294931,42.3732448,-71.1293615
Foch Street,42.4015829,-71.1352296,42.4012963,-71.1345526
Alewife Brook Parkway,42.3907238,-71.141664,42.3905095,-71.1418267
Memorial Drive,42.3559607,-71.1137824,42.3561193,-71.1140141
Monsignor O'Brien Highway,42.3686341,-71.0721368,42.3683979,-71.0716478
Willow Street,42.371692,-71.092336,42.371294,-71.092535
Pearl Street,42.359553,-71.108224,42.358999,-71.108813
State Street,42.3624981,-71.0963763,42.3624257,-71.0953482
John F. Kennedy Street,42.3722506,-71.1204204,42.3725698,-71.1201475
Concord Turnpike,42.3982594,-71.1436348,42.3984217,-71.1441684
Massachusetts Avenue,42.362651,-71.099051,42.361997,-71.097958
Hudson Street,42.382045,-71.120855,42.382184,-71.120246
Dr. Paul Dudley White Path,42.3607504,-71.0792489,42.3606933,-71.0794635
Washington Street,42.386245,-71.174932,42.386253,-71.174602
Embankment Road,42.3666733,-71.0682794,42.3662876,-71.068718
Massachusetts Avenue,42.372073,-71.1153862,42.372204,-71.1155367
Pleasant Street,42.3632142,-71.1091503,42.3636406,-71.1086485
Gerry's Landing Road,42.3713674,-71.1335929,42.3714065,-71.1335067
Dr. Paul Dudley White Path,42.3701108,-71.1342245,42.3699787,-71.1342859
Porter Road,42.3896176,-71.1212286,42.389339,-71.121578
Pond Street,42.398242,-71.158161,42.398354,-71.15796
Gerry's Landing Road,42.3712785,-71.1337589,42.3713283,-71.1336769
Mary Street,42.403016,-71.15027,42.403256,-71.149064
Mead Street,42.390215,-71.125682,42.390011,-71.12515
Brighton Street,42.398377,-71.161418,42.398563,-71.161813
Dr. Paul Dudley White Path,42.3631398,-71.1446026,42.3631527,-71.1445349
Vassar Street,42.359012,-71.0973472,42.3586351,-71.0981038
Lafayette Street,42.4002016,-71.1400439,42.4002753,-71.1398477
Alewife Greenway Path,42.4008176,-71.136877,42.4006973,-71.1370915
Galileo Galilei Way,42.3648462,-71.0894626,42.3648019,-71.0894752
Dr. Paul Dudley White Path,42.3680275,-71.1214668,42.368007,-71.1203172
Esten Street,42.38567,-71.12908,42.3860208,-71.1295021
Dr. Paul Dudley White Path,42.3703128,-71.1340249,42.3702594,-71.134088
Main Street,42.398407,-71.101191,42.398206,-71.100927
King Street,42.3897381,-71.124425,42.3895426,-71.1238952
Memorial Drive,42.373511,-71.133212,42.373665,-71.133017
Chauncy Street,42.379983,-71.119983,42.379983,-71.119855
Alewife Brook Parkway,42.3973692,-71.1414446,42.3973265,-71.1413897
South Normandy Avenue,42.393766,-71.156157,42.393883,-71.156171
Amherst Street,42.356388,-71.097728,42.356393,-71.09782
Hawthorne Street,42.393784,-71.11772,42.3935739,-71.1171852
Temple Street,42.394342,-71.092022,42.394821,-71.091689
Dr. Paul Dudley White Path,42.3525624,-71.0865187,42.3525986,-71.0864409
Dr. Paul Dudley White Path,42.3727479,-71.1276586,42.3726745,-71.1275506
Harvard Street,42.37053,-71.108663,42.370266,-71.107677
Binney Street,42.3660971,-71.0860313,42.3656342,-71.0824513
Green Street,42.362664,-71.100651,42.363181,-71.101531
Massachusetts Avenue,42.387226,-71.119229,42.3870229,-71.1192171
Pemberton Street,42.391963,-71.125563,42.3925916,-71.1252393
Willard Street,42.375913,-71.128059,42.376164,-71.127943
Monsignor O'Brien Highway,42.3671374,-71.0689503,42.3672481,-71.0691669
Leverett Connector,42.3764436,-71.0746053,42.3766577,-71.0748216
Dr. Paul Dudley White Path,42.3643619,-71.1386091,42.3644,-71.1385538
Berkeley Place,42.377627,-71.127774,42.377852,-71.127531
Cambridge Parkway Bike Path,42.3675406,-71.0739738,42.3675892,-71.0740007
Land Boulevard,42.3600526,-71.0837474,42.3601795,-71.0832753
Elmwood Street,42.3977876,-71.1286522,42.398124,-71.128264
US 3;SR 2,42.3730281,-71.1348639,42.3729823,-71.1347663
Campbell Park Place,42.397148,-71.127129,42.397354,-71.12711
Huron Avenue,42.381124,-71.154472,42.380906,-71.154181
Holland Street,42.3991611,-71.1246777,42.399856,-71.125235
Dr. Paul Dudley White Path,42.3612302,-71.1174103,42.3609459,-71.1173287
Jackson Circle,42.3919018,-71.135513,42.3919151,-71.1354879
Kendall Street,42.3636304,-71.0821028,42.363638,-71.0821497
Gore Street,42.371928,-71.081339,42.371821,-71.080508
Dr. Paul Dudley White Path,42.3656795,-71.1388856,42.3655996,-71.1389891
Massachusetts Avenue,42.398327,-71.131253,42.398845,-71.131904
Dr. Paul Dudley White Path,42.3642033,-71.1391075,42.3642415,-71.1390025
Fresh Pond Parkway,42.3754976,-71.1397251,42.375568,-71.139835
Concord Avenue,42.3869807,-71.1413215,42.3870688,-71.1415108
Grove Street,42.382937,-71.158179,42.383047,-71.158253
SR 3,42.3621235,-71.0789165,42.3620694,-71.0788808
Dr. Paul Dudley White Path,42.356296,-71.1143656,42.3565002,-71.1145877
Magazine Street,42.3576035,-71.1127352,42.3578191,-71.1124949
Main Street,42.3617591,-71.0796653,42.3617511,-71.0795475
Grove Street,42.382438,-71.157956,42.382554,-71.157977
Alewife Linear Park,42.397103,-71.1236684,42.3970229,-71.1229348
Dr. Paul Dudley White Path,42.3691636,-71.1345184,42.3689972,-71.1346094
Harvey Street,42.397467,-71.135328,42.3975449,-71.136362
Gray Gardens West,42.383071,-71.128914,42.383066,-71.128966
Mount Auburn Street,42.3748176,-71.1386887,42.3748049,-71.1384706
Broadway,42.3653522,-71.0909225,42.3654261,-71.0911484
Waverly Street,42.3574272,-71.1037634,42.3574348,-71.1036963
Waverly Street,42.3574245,-71.1036427,42.3574171,-71.1035564
Ericsson Street,42.3751959,-71.1547794,42.375298,-71.154781
Albany Street,42.3578646,-71.1024178,42.3579051,-71.1023283
Washington Street,42.3789797,-71.10353,42.3789953,-71.1034623
Grant Street,42.393875,-71.088703,42.394568,-71.0877529
Fresh Pond Paths,42.3827484,-71.1433955,42.3830288,-71.1431089
Soldiers Field Road,42.353662,-71.116289,42.35387,-71.11667
Fresh Pond Parkway,42.377183,-71.1415,42.377279,-71.141609
Mercer Circle,42.37671,-71.129995,42.37674,-71.129803
Main Street,42.3629957,-71.0938536,42.3629768,-71.0936322
Dr. Paul Dudley White Path,42.3546412,-71.1005686,42.3545207,-71.1009205
Main Street,42.40207,-71.106282,42.40181,-71.10595
Sparks Street,42.37675,-71.130315,42.376154,-71.130393
Acorn Park Road,42.400733,-71.154195,42.4007069,-71.1540573
Grove Street,42.376217,-71.158599,42.376399,-71.158627
Walden Street,42.382833,-71.135198,42.3833,-71.13468
Porter Square,42.3881844,-71.1192793,42.388505,-71.1193721
Garden Street,42.380496,-71.125362,42.3806337,-71.1254774
SR 3,42.3620588,-71.0793637,42.3620945,-71.0793136
Western Avenue,42.363284,-71.134558,42.363324,-71.134285
Fresh Pond Parkway,42.377091,-71.141395,42.377183,-71.1415
Earle Street,42.3755286,-71.0914773,42.3755474,-71.091576
Concord Avenue,42.3915866,-71.1607924,42.3916768,-71.1610882
Charlestown Avenue,42.371805,-71.0709526,42.3721016,-71.0706596
Alwife Brook Parkway,42.4031191,-71.1348787,42.4033172,-71.1348318
US 1,42.3720935,-71.0682723,42.372018,-71.0679965
Sumner Road,42.376514,-71.112449,42.377006,-71.112358
Alewife T Station Access Road,42.3968605,-71.1432866,42.3965318,-71.1432239
Fresh Pond Lane,42.377289,-71.144118,42.377402,-71.144144
Lesley Avenue,42.39449,-71.114837,42.393572,-71.115564
Community Path,42.368952,-71.066173,42.368756,-71.065737
Western Avenue,42.3650599,-71.1072174,42.3650192,-71.1077004
Cambridgepark Drive,42.3947013,-71.1413831,42.3946704,-71.1421147
Windsor Street,42.3618769,-71.0968764,42.3620037,-71.0968579
Kendall Street,42.3636388,-71.0819644,42.3636316,-71.0819935
Gerry's Landing Road,42.3723588,-71.1349019,42.372114,-71.1348668
Leverett Connector,42.3783802,-71.0764213,42.3777113,-71.075849
Choate Road,42.380596,-71.160602,42.380544,-71.159634
Garden Street,42.3858037,-71.1327201,42.385716,-71.132572
Broadway,42.3621216,-71.0833547,42.3620793,-71.0831495
Dr. Paul Dudley White Path,42.3608039,-71.0728368,42.3608904,-71.0728785
Greenough Boulevard,42.3672873,-71.1369945,42.3674228,-71.1367672
Morrison Avenue,42.395317,-71.114253,42.395124,-71.113477
Fallon Place,42.368258,-71.114734,42.368263,-71.114161
Dr. Paul Dudley White Path,42.3657849,-71.0694551,42.3658729,-71.0693533
Little John Street,42.402695,-71.151814,42.403343,-71.1521
Porter Square,42.388505,-71.1193721,42.3885451,-71.1193717
Washington Street,42.386413,-71.162674,42.386473,-71.161895
Pilgrim Street,42.3617854,-71.1034355,42.3614556,-71.1028776
Memorial Drive,42.3573688,-71.1151557,42.357483,-71.1152157
Memorial Drive,42.370672,-71.123923,42.370961,-71.124166
Greenough Boulevard,42.3716254,-71.1348359,42.3712598,-71.1348373
Morgan Street,42.381009,-71.108285,42.381004,-71.108307
Moreland Street,42.39723,-71.097683,42.397898,-71.097078
Greenough Boulevard,42.3651648,-71.1414624,42.3651287,-71.1412421
Mason Street,42.375965,-71.124492,42.376025,-71.124376
Dr. Paul Dudley White Path,42.3705289,-71.12657,42.3704135,-71.1265602
Dr. Paul Dudley White Path,42.3521111,-71.0897814,42.3521293,-71.0896131
Merrill Avenue,42.391759,-71.157812,42.391749,-71.157683
Bryant Street,42.379702,-71.110195,42.379701,-71.109852
Stewart Terrace,42.389946,-71.158954,42.390122,-71.158909
Leverett Connector,42.3734225,-71.0706733,42.3732362,-71.0703409
Broadway,42.367186,-71.095628,42.367111,-71.095419
Fresh Pond Parkway,42.380274,-71.144557,42.380534,-71.144597
Alewife Brook Parkway,42.398058,-71.1412405,42.3981668,-71.1412255
Gore Street,42.3715442,-71.0783486,42.3715492,-71.078273
Fitchburg Cutoff Path,42.3959839,-71.1551231,42.3959983,-71.1554007
Dr. Paul Dudley White Path,42.3723489,-71.1320073,42.372343,-71.1319593
Marcella Street,42.371584,-71.09013,42.37121,-71.088974
Beacon Street,42.380187,-71.1087008,42.3802311,-71.108757
York Street,42.37,-71.093395,42.36997,-71.093206
Howard Street,42.364756,-71.110773,42.36539,-71.110873
Prospect Street,42.369323,-71.101006,42.369698,-71.100744
Arlington Street,42.386195,-71.122505,42.386248,-71.122107
Dr. Paul Dudley White Path,42.3533797,-71.1085707,42.3533924,-71.1087338
Porter Square,42.3883848,-71.1190017,42.3883113,-71.1190542
Charles Street,42.3675175,-71.0800098,42.3674403,-71.0793781
Brookline Street,42.360715,-71.104495,42.360902,-71.104293
Main Street,42.398948,-71.102064,42.39864,-71.10156
Cardinal Medeiros Avenue,42.3707692,-71.0892163,42.3710955,-71.0890369
Prospect Street,42.366201,-71.103308,42.366344,-71.103146
Dr. Paul Dudley White Path,42.373235,-71.1297602,42.3732445,-71.1296345
Greenough Boulevard,42.3651287,-71.1412421,42.3651094,-71.1409923
Belmont Street,42.3748648,-71.1513164,42.3748462,-71.151105
Alewife T Station Access Road,42.3979111,-71.143757,42.3977948,-71.1436938
Fitchburg Cutoff Path,42.3960283,-71.1564652,42.3960322,-71.1567468
Lincoln Street,42.37124,-71.094849,42.371137,-71.094536
Market Street,42.369327,-71.097547,42.369114,-71.097226
Massachusetts Avenue,42.399344,-71.132761,42.399325,-71.132735
Massachusetts Avenue,42.403384,-71.139236,42.403252,-71.139073
Bartlett Street,42.39292,-71.102691,42.391999,-71.103351
Concord Avenue,42.3910755,-71.1586854,42.3909988,-71.1581494
Sydney Street,42.3944401,-71.0894423,42.395317,-71.0906124
Soldiers Field Road,42.367561,-71.119282,42.36746,-71.119027
Agassiz Street,42.385107,-71.121758,42.38551,-71.121996
Alwife Brook Parkway,42.401233,-71.1363464,42.401281,-71.1363052
Munroe Street,42.3652858,-71.084273,42.3650925,-71.0827668
SR 3,42.3626526,-71.0716887,42.3625762,-71.0717369
Massachusetts Avenue Branch,42.379983,-71.119983,42.379496,-71.120164
Dr. Paul Dudley White Path,42.369439,-71.1179998,42.3696134,-71.1186382
Madison Street,42.382119,-71.129275,42.382338,-71.129072
Alewife Brook Parkway,42.3887903,-71.1433337,42.388734,-71.1434215
Holden Street,42.377898,-71.10813,42.3786321,-71.1084263
Lexington Avenue,42.377237,-71.140062,42.377275,-71.140076
Arrow Street,42.371056,-71.114454,42.37129,-71.115033
Brattle Street,42.3777791,-71.1295419,42.3777094,-71.1293016
Hampshire Place,42.3727574,-71.0996524,42.3730427,-71.0992318
Vassar Street,42.3598772,-71.0955801,42.3598278,-71.0956763
Monsignor O'Brien Highway,42.3700118,-71.0745522,42.3704271,-71.0753784
Main Street,42.3627926,-71.0910312,42.3627846,-71.0908995
Fresh Pond Paths,42.3817848,-71.144786,42.3818545,-71.1446915
Concord Lane,42.3884952,-71.1414551,42.388799,-71.141078
Mooney Street,42.39429,-71.150558,42.394229,-71.150373
Dudley Street,42.395707,-71.135269,42.395724,-71.134242
Sidney Street,42.362389,-71.1001993,42.3625317,-71.1000411
Spring Street,42.3696989,-71.0860062,42.369607,-71.085282
SR 2,42.3546093,-71.1117562,42.3545268,-71.1116617
Pilgrim St.,42.3608627,-71.1018851,42.3607676,-71.1018373
Vassar Street,42.3601297,-71.0950586,42.3598772,-71.0955801
Greenough Boulevard,42.3683802,-71.1353842,42.3682405,-71.1355396
Grove Street,42.377754,-71.158854,42.378163,-71.158899
Clifton Street,42.394929,-71.136271,42.394326,-71.136251
Main Street,42.3630536,-71.094713,42.3630307,-71.094424
Springfield Street,42.3755944,-71.099837,42.3765482,-71.0994382
Broad Channel Boardwalk,42.3628644,-71.0813653,42.3629695,-71.0819569
Grove Street,42.379208,-71.158552,42.379358,-71.158362
Windsor Street,42.3741478,-71.0928612,42.3742084,-71.0928475
Brattle Street,42.3778869,-71.1302114,42.3778489,-71.1303402
Main Street,42.400364,-71.104031,42.3997433,-71.1031894
Kirkland Street,42.377623,-71.109439,42.377898,-71.10813
Smith Place,42.394184,-71.150278,42.394229,-71.150373
Market Street,42.368819,-71.096836,42.368342,-71.096099
Dr. Paul Dudley White Path,42.3696134,-71.1186382,42.3696828,-71.1190808
Medford Street,42.388304,-71.096284,42.388662,-71.096658
Monsignor O'Brien Highway,42.3673642,-71.0695995,42.3671771,-71.0692381
Washington Street,42.3646227,-71.0951636,42.3645899,-71.0950103
US 1,42.3698875,-71.0647861,42.3699296,-71.064585
Glenn Road,42.388863,-71.160695,42.388835,-71.160215
Banks Street,42.369768,-71.114589,42.370496,-71.114482
Arlington Street,42.386079,-71.122919,42.386195,-71.122505
Dr. Paul Dudley White Path,42.3705857,-71.123976,42.3707203,-71.1241221
Hurley Street,42.3682948,-71.0805599,42.3682039,-71.0798477
Magazine Court,42.359808,-71.111237,42.359987,-71.111548
Dr. Paul Dudley White Path,42.355276,-71.0774556,42.3553067,-71.0773119
Land Boulevard,42.3604839,-71.0823398,42.3605854,-71.0820308
Hampshire Street,42.367955,-71.0938,42.3684386,-71.0943873
Dr. Paul Dudley White Path,42.3549022,-71.0989879,42.354738,-71.1001542
Putnam Avenue,42.368854,-71.113508,42.369285,-71.113448
Spring Street,42.3689544,-71.080298,42.368881,-71.079711
Galileo Galilei Way,42.36626,-71.088455,42.3662896,-71.0883501
Windsor Street,42.367721,-71.095194,42.36779,-71.095152
Dr. Paul Dudley White Path,42.3516047,-71.1068325,42.3515825,-71.1065718
Massachusetts Avenue,42.3570093,-71.0924955,42.3570579,-71.0925195
Washington Street,42.3793289,-71.0995214,42.3793292,-71.0994631
US 1,42.3700778,-71.0651401,42.3700162,-71.065347
Memorial Drive,42.3591248,-71.0875226,42.358828,-71.088435
Dr. Paul Dudley White Path,42.3557493,-71.075764,42.3558078,-71.0756143
Jackson Circle,42.392079,-71.135509,42.3920857,-71.1355373
Brookline Street,42.360591,-71.104624,42.360715,-71.104495
Storrow Drive,42.351096,-71.102318,42.351163,-71.103317
Elm Street,42.367583,-71.098578,42.367295,-71.098765
Nashua Street,42.3672039,-71.0649726,42.367406,-71.065199
Inman Place,42.369959,-71.1038853,42.3699154,-71.1038558
Fresh Pond Parkway,42.38109,-71.144572,42.381148,-71.144545
Cambridgepark Drive,42.394652,-71.142296,42.3946311,-71.1423487
Irving Terrace,42.375947,-71.112589,42.375719,-71.110958
Linnaean Street,42.384495,-71.121164,42.384611,-71.120616
Pilgrim Street,42.3613874,-71.1027597,42.3614317,-71.1027716
Frontage Road,42.3966562,-71.1017966,42.396681,-71.101957
Thingvalla Avenue,42.376217,-71.152414,42.376331,-71.151675
Memorial Drive,42.3613483,-71.0801874,42.3614012,-71.0800591
Prospect Street,42.3682951,-71.1017379,42.369317,-71.10101
Porter Square,42.3883736,-71.1189712,42.3883848,-71.1190017
Blanchard Road,42.3904883,-71.1570797,42.3908813,-71.1572313
Saint Saveur Court,42.377098,-71.153048,42.37719,-71.153449
Felton Street,42.374174,-71.112622,42.373969,-71.112777
Fairmount Street,42.399851,-71.14167,42.400217,-71.141041
Florence Street,42.3587473,-71.1139802,42.3587108,-71.1139575
Camp Street,42.398417,-71.130306,42.399229,-71.129395
Fairmount Street,42.401376,-71.139211,42.401861,-71.138505
Dr. Paul Dudley White Path,42.3639174,-71.1398694,42.3639353,-71.1397782
Ames Street,42.3627308,-71.088105,42.3628961,-71.0880829
Fellsway,42.3939831,-71.0855378,42.3946075,-71.0854098
College Avenue,42.3966812,-71.1221868,42.3967226,-71.1221605
Nashua Street,42.3663978,-71.0640913,42.3664814,-71.0641526
Belmont Street,42.3747098,-71.150049,42.3747257,-71.150189
Alewife T Station Access Road,42.3960191,-71.1430691,42.3956358,-71.1428783
Massachusetts Avenue,42.402147,-71.137739,42.402131,-71.137721
Middlesex Street,42.391312,-71.130542,42.391791,-71.130665
Alewife Greenway Path,42.3995222,-71.1411041,42.3992924,-71.1414206
Spring Street,42.368801,-71.079084,42.3685733,-71.0774066
Broadway,42.3982884,-71.10733,42.3978863,-71.1060586
Dr. Paul Dudley White Path,42.3695226,-71.1308214,42.3696346,-71.1308019
Vassal Lane,42.381836,-71.134846,42.381694,-71.134455
Land Boulevard,42.360623,-71.0818888,42.3606546,-71.0817384
Community Path,42.3957001,-71.117946,42.3952352,-71.1160435
Waverly Street,42.3573392,-71.104008,42.3573744,-71.103941
Elm Street,42.3931591,-71.1204874,42.3937303,-71.1208232
Heath Street,42.396639,-71.098206,42.395992,-71.097128
Fayerweather Street,42.378754,-71.137868,42.378844,-71.13788
Dana Street,42.372903,-71.108215,42.373502,-71.107784
Fainwood Circle,42.3732786,-71.103186,42.3733321,-71.1031512
Larch Road,42.37755,-71.142122,42.377328,-71.142134
Cambridge Street,42.372754,-71.093279,42.3726517,-71.0925017
Soldiers Field Road,42.358016,-71.117976,42.357644,-71.118111
Grove Street,42.3651944,-71.1465411,42.3651874,-71.1463973
Soldiers Field Road,42.3631171,-71.1438813,42.3630653,-71.1441156
Greenough Boulevard,42.36564,-71.1437318,42.3656227,-71.1439347
Soldiers Field Road,42.3689981,-71.1303285,42.369279,-71.130254
Storrow Drive,42.3509592,-71.0939946,42.350853,-71.094315
Magazine Street,42.361241,-71.108719,42.361427,-71.108522
Cutler Street,42.3955668,-71.1067533,42.3957312,-71.1071422
Green Street,42.367779,-71.109438,42.36784,-71.109553
Griswold Street,42.392392,-71.15627,42.393425,-71.15572
Soldiers Field Road,42.367363,-71.118851,42.3672684,-71.1187116
Jackson Place,42.3920115,-71.1349954,42.3923653,-71.1350142
Lilac Court,42.3673201,-71.0925471,42.367436,-71.091978
Appleton Street,42.396647,-71.116217,42.396399,-71.115599
Dr. Paul Dudley White Path,42.3581553,-71.1155676,42.3585104,-71.1156535
Hawthorne Park,42.381928,-71.142526,42.382062,-71.141757
Hittinger Street,42.395141,-71.1595435,42.3954367,-71.1586594
Avon Hill Street,42.38509,-71.124605,42.384443,-71.124235
Fresh Pond Lane,42.3760093,-71.1431201,42.376029,-71.143209
Newell Street,42.3861824,-71.1290837,42.386658,-71.129619
Medford Street,42.388265,-71.096242,42.388304,-71.096284
Peabody Street,42.3758119,-71.1181664,42.3758753,-71.1179861
Fresh Pond Parkway,42.380534,-71.144597,42.380722,-71.144625
Miller's River Littoral Way,42.3723209,-71.0653401,42.3722646,-71.0653191
Gray Street,42.3826638,-71.1217504,42.382777,-71.121844
Highland Avenue,42.3956318,-71.1203318,42.395694,-71.120474
Prospect Street,42.3708898,-71.0999212,42.3722001,-71.0989715
Foster Street,42.375932,-71.129523,42.375861,-71.129278
Soldiers Field Road,42.3644825,-71.1361375,42.36461,-71.1357718
Mellen Street,42.380837,-71.119906,42.380836,-71.119776
Grozier Road,42.377183,-71.1415,42.377333,-71.141319
Taylor Road,42.388584,-71.160025,42.388755,-71.16001
Edmunds Street,42.3980837,-71.1324531,42.3982327,-71.132451
Dr. Paul Dudley White Path,42.3726668,-71.1339051,42.3725,-71.1340422
Brattle Street,42.376346,-71.139748,42.376149,-71.140743
Griswold Street,42.3909558,-71.1570705,42.391785,-71.156604
Dr. Paul Dudley White Path,42.3521598,-71.1112499,42.3521771,-71.1112061
South Street,42.3750668,-71.09231,42.3750029,-71.0921738
Elm Street,42.381714,-71.160058,42.381803,-71.15967
Eastern States Road,42.39099,-71.152617,42.390903,-71.151696
Emmons Place,42.377012,-71.108968,42.376927,-71.108375
Memorial Drive,42.3691695,-71.1172917,42.36925,-71.117421
Broadway,42.3643416,-71.0880978,42.3643722,-71.0881729
Gateway Park,42.4011372,-71.0717386,42.400846,-71.071889
Thorndike Street,42.370637,-71.088031,42.370548,-71.087246
Elm Street,42.3887944,-71.1161992,42.3890216,-71.116415
Fresh Pond Lane,42.376663,-71.144087,42.376985,-71.1441
Gore Street Place,42.372127,-71.08414,42.372297,-71.0841
