Saint Nicholas Avenue,40.818535,-73.94735,40.819209,-73.947036
Henry Hudson Parkway,40.7955629,-73.976892,40.7957927,-73.9766243
West 148th Street,40.8235385,-73.9376019,40.8236068,-73.9377722
East 74th Street,40.770106,-73.9574143,40.7691042,-73.9550486
Park Avenue,40.755868,-73.9747539,40.7564963,-73.9742957
York Avenue,40.7739762,-73.9485506,40.7746141,-73.9480817
Morningside Drive,40.8096373,-73.9571338,40.809674,-73.9571227
Vermilyea Avenue,40.8673172,-73.9191055,40.867546,-73.9185124
Washington Terrace,40.8512016,-73.9295871,40.851047,-73.929701
East River Greenway,40.7185384,-73.9746205,40.7181196,-73.9746903
Broadway,40.7889211,-73.9758906,40.7895455,-73.97542
West 141st Street,40.8221053,-73.948085,40.8226821,-73.9494564
Lafayette Street,40.717932,-74.000988,40.717299,-74.001566
East 41st Street,40.7521385,-73.9797698,40.7515144,-73.9782897
Wadsworth Ave,40.8566949,-73.9293325,40.8566974,-73.9290337
East 10th Street,40.7246263,-73.9741632,40.7246553,-73.9742016
3rd Avenue,40.772338,-73.9587118,40.7729689,-73.9582521
West 41st Street,40.7576579,-73.9928226,40.7577211,-73.9929
Adam Clayton Powell Jr. Boulevard,40.8203116,-73.939948,40.8209353,-73.9394931
Central Park Driveway,40.7748565,-73.9743736,40.7748219,-73.9744353
Saint Nicholas Place,40.8272063,-73.9424535,40.827823,-73.941997
3rd Avenue,40.7794979,-73.9534906,40.7801212,-73.9530365
Reservoir Running Track,40.7886412,-73.9619498,40.7885932,-73.9619939
East Drive,40.7742997,-73.9690636,40.774708,-73.9686856
Hudson Street,40.72061,-74.00847,40.7211966,-74.0083678
East 87th Street,40.7809019,-73.9568157,40.7815366,-73.9583191
Broadway,40.8048633,-73.9663136,40.8042094,-73.966794
Madison Avenue,40.74905,-73.982024,40.7496412,-73.9815997
West 115th Street,40.801332,-73.950186,40.802361,-73.952588
Canal Street,40.722253,-74.005913,40.7225631,-74.0063119
East 91st Street,40.7800561,-73.9470548,40.7810592,-73.949421
William Street,40.706379,-74.009502,40.706953,-74.008996
Hudson Street,40.7362534,-74.0058972,40.736534,-74.005854
Harlem River Drive,40.8545938,-73.9235119,40.8549509,-73.9232716
Harlem River Drive,40.807848,-73.9343952,40.8075427,-73.934215
West 165th Street,40.8380166,-73.9384376,40.8387561,-73.9396387
East 22nd Street,40.739522,-73.986849,40.73884,-73.985232
West 63rd Street,40.7736342,-73.9875046,40.7741202,-73.9886361
Bridge Street,40.703588,-74.013114,40.7035675,-74.0118829
West 47th Street,40.762806,-73.993156,40.7630483,-73.9937375
East Drive,40.7707052,-73.9709176,40.7709587,-73.9707116
South Street,40.7032793,-74.0078279,40.703189,-74.00798
East Drive,40.7960983,-73.9556993,40.7961553,-73.9556678
6th Avenue,40.73986,-73.995018,40.740442,-73.994593
Park Avenue South,40.741471,-73.985428,40.742089,-73.984977
Commerce Street,40.731893,-74.003791,40.731544,-74.004939
East 30th Street,40.745244,-73.984794,40.744562,-73.983177
Riverside Drive,40.806127,-73.967373,40.8068455,-73.9671362
Haven Ave,40.847666,-73.942184,40.8483196,-73.9420214
Cooper Square,40.7270585,-73.991472,40.7276565,-73.9912568
Henry Hudson Parkway,40.8006248,-73.9744408,40.800222,-73.9746726
East 121st Street,40.8011376,-73.9376885,40.8015246,-73.9386065
