start_lat,start_lng,end_lat,end_lng,name
37.7274866,-122.4411621,37.7282557,-122.4442001,Paulding St
37.7282557,-122.4442001,37.7299102,-122.4442931,Detroit St
37.7299102,-122.4442931,37.7299142,-122.443014,Flood Ave
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7274866,-122.4411621,San Jose Avenue
37.7274866,-122.4411621,37.7282557,-122.4442001,Paulding St
37.7282557,-122.4442001,37.7294935,-122.4417013,Circular Ave
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7289583,-122.4401259,San Jose Avenue
37.7289583,-122.4401259,37.7290834,-122.440497,Santa Rosa Ave
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.729482,-122.4390962,San Jose Avenue
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7299015,-122.4384262,San Jose Avenue
37.7299015,-122.4384262,37.7294559,-122.4379222,Capistrano Ave
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7302267,-122.4374291,San Jose Avenue
37.7302267,-122.4374291,37.729493,-122.4365788,Cotter St
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7235945,-122.4388229,Ocean Ave
37.7235945,-122.4388229,37.7292878,-122.4352135,Cayuga Ave
37.7292878,-122.4352135,37.7294417,-122.4353655,Theresa St
37.7229214,-122.4449723,37.7229185,-122.4516208,Ocean Ave
37.7229185,-122.4516208,37.7230769,-122.4516988,Geneva Ave
37.7230769,-122.4516988,37.7231583,-122.4523301,Ocean Ave
37.7231583,-122.4523301,37.727924,-122.4523834,Phelan Ave
37.727924,-122.4523834,37.728303,-122.4523341,Phelan Ave
37.728303,-122.4523341,37.7285047,-122.452438,Phelan Ave
37.7285047,-122.452438,37.7285071,-122.4533593,Judson Ave
37.7229214,-122.4449723,37.7229185,-122.4516208,Ocean Ave
37.7229185,-122.4516208,37.7230769,-122.4516988,Geneva Ave
37.7230769,-122.4516988,37.7231583,-122.4523301,Ocean Ave
37.7231583,-122.4523301,37.727924,-122.4523834,Phelan Ave
37.727924,-122.4523834,37.728303,-122.4523341,Phelan Ave
37.728303,-122.4523341,37.7283828,-122.4520619,Judson Ave
37.7229214,-122.4449723,37.7229198,-122.4471932,Ocean Ave
37.7229198,-122.4471932,37.7230421,-122.4471668,Ocean Ave
37.7230421,-122.4471668,37.7230356,-122.4490989,Ocean Ave
37.7230356,-122.4490989,37.7243288,-122.448729,Cloud Cir
37.7243288,-122.448729,37.7243851,-122.4488472,Cloud Cir
37.7243851,-122.4488472,37.7247456,-122.4488008,Cloud Cir
37.7247456,-122.4488008,37.7252505,-122.4493382,Cloud Cir
37.7252505,-122.4493382,37.7253582,-122.4495828,Cloud Cir
37.7253582,-122.4495828,37.7268457,-122.450697,Cloud Cir
37.7268457,-122.450697,37.7270628,-122.4506991,
37.7270628,-122.4506991,37.7283574,-122.4507826,
37.7229214,-122.4449723,37.7229198,-122.4471932,Ocean Ave
37.7229198,-122.4471932,37.7230421,-122.4471668,Ocean Ave
37.7230421,-122.4471668,37.7230356,-122.4490989,Ocean Ave
37.7230356,-122.4490989,37.7243288,-122.448729,Cloud Cir
37.7243288,-122.448729,37.7243851,-122.4488472,Cloud Cir
37.7243851,-122.4488472,37.7247456,-122.4488008,Cloud Cir
37.7247456,-122.4488008,37.7252505,-122.4493382,Cloud Cir
37.7252505,-122.4493382,37.7253582,-122.4495828,Cloud Cir
37.7253582,-122.4495828,37.7268457,-122.450697,Cloud Cir
37.7268457,-122.450697,37.7270628,-122.4506991,Judson Ave
37.7270628,-122.4506991,37.7283574,-122.4507826,Judson Ave
37.7283574,-122.4507826,37.7283678,-122.4494776,Judson Ave
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7249813,-122.4431054,San Jose Avenue
37.7249813,-122.4431054,37.7249827,-122.4450576,Sgt John V Young St
37.7249827,-122.4450576,37.7262701,-122.4452415,Havelock St
37.7262701,-122.4452415,37.7266888,-122.4465567,Havelock St
37.7266888,-122.4465567,37.7282767,-122.4465693,Edna St
37.7282767,-122.4465693,37.728329,-122.4482118,Judson Ave
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
