Concord Avenue,42.3938504,-71.1687194,42.3944569,-71.1706506,None,None
Clement Circle,42.3813,-71.131249,42.38129,-71.131299,2.0,3.0
I 93,42.3925649,-71.0847581,42.3924109,-71.0846172,15.0,21.0
John F. Fitzgerald Expressway,42.3674824,-71.0616592,42.3701057,-71.0646433,396.0,546.0
Cushing Street,42.377201,-71.151892,42.376331,-71.151675,70.0,100.0
Arrow Street,42.37129,-71.115033,42.3715816,-71.1156742,42.0,62.0
Beacon Street,42.382337,-71.111385,42.3827852,-71.1119262,47.0,67.0
Dr. Paul Dudley White Path,42.3693554,-71.1258948,42.3692891,-71.1257868,9.0,11.0
Dunster Street,42.3732932,-71.1186736,42.3732611,-71.118719,3.0,4.0
Soldiers Field Road,42.367495,-71.118861,42.367612,-71.119113,80.0,62.0
Waverly Street,42.360821,-71.1450264,42.3607944,-71.1445062,31.0,42.0
Terminal Road,42.3917884,-71.1404611,42.3919171,-71.1410821,39.0,53.0
Western Avenue,42.363255,-71.134762,42.363284,-71.134558,12.0,17.0
Webster Avenue,42.3750909,-71.0950075,42.375283,-71.095062,16.0,22.0
Telford Street,42.362916,-71.137369,42.3636614,-71.1375238,61.0,86.0
Massachusetts Avenue,42.3731088,-71.1179073,42.3732447,-71.1183581,25.0,38.0
Cardinal Medeiros Avenue,42.3683758,-71.0905783,42.368798,-71.090339,38.0,52.0
Choate Road,42.380482,-71.158379,42.380487,-71.158178,12.0,16.0
Waverly Street,42.354733,-71.107751,42.354735,-71.107591,10.0,14.0
Highland Avenue,42.393292,-71.114898,42.39291,-71.114033,62.0,82.0
Cherry Street,42.364356,-71.097347,42.3644572,-71.0973138,9.0,13.0
Beech Path,42.3868506,-71.1475228,42.386799,-71.1474182,7.0,10.0
South Street,42.3741502,-71.0885041,42.3742732,-71.0895646,65.0,90.0
Dr. Paul Dudley White Path,42.357606,-71.073722,42.3576081,-71.0736533,4.0,5.0
W Harrington Memorial Way,42.369656,-71.088702,42.3699,-71.088627,20.0,28.0
Leverett Connector,42.3738225,-71.0711986,42.373981,-71.0714623,15.0,21.0
Fresh Pond Parkway,42.381936,-71.143775,42.382193,-71.143508,25.0,36.0
Taylor Street,42.3944401,-71.0894423,42.3951442,-71.0884715,77.0,105.0
Mooney Street,42.394672,-71.152194,42.394472,-71.151358,52.0,72.0
Bigelow Street,42.367533,-71.105819,42.367826,-71.105552,27.0,39.0
Concord Avenue,42.381532,-71.129541,42.381367,-71.129271,19.0,29.0
Brattle Street,42.376114,-71.125155,42.37623,-71.125646,31.0,43.0
Vassar Street,42.3593363,-71.0966933,42.359012,-71.0973472,46.0,64.0
Lowell Terrace,42.3959907,-71.1046183,42.3957688,-71.1041274,33.0,44.0
Medford Street,42.3941,-71.101838,42.394691,-71.102278,52.0,76.0
Albany Street,42.3574689,-71.1032135,42.3574998,-71.1031439,5.0,6.0
Foster Street,42.375849,-71.129202,42.375816,-71.128977,13.0,17.0
Norwood Avenue,42.3956682,-71.1030771,42.396713,-71.102385,131.0,132.0
US 3;SR 2,42.3729823,-71.1347663,42.372946,-71.13467,6.0,9.0
First Street,42.3693277,-71.0772299,42.3698659,-71.0771039,44.0,61.0
Union Street,42.370837,-71.094682,42.370559,-71.094817,23.0,33.0
Gurney Street,42.380037,-71.138286,42.3801,-71.138415,8.0,12.0
Ash Street,42.374861,-71.124884,42.375123,-71.124778,23.0,31.0
Sozio Rotary,42.3866177,-71.141194,42.3865772,-71.14115,14.0,6.0
Ringefield Street,42.393371,-71.127734,42.393924,-71.128364,58.0,80.0
Sherman Street,42.389269,-71.132635,42.389627,-71.132664,30.0,40.0
Gerry's Landing Road,42.3734539,-71.1352911,42.3732454,-71.1351877,28.0,25.0
Kirkland Road,42.376481,-71.111509,42.376644,-71.111484,13.0,18.0
Florence Street,42.3586683,-71.1138923,42.3581426,-71.1130356,74.0,90.0
Bay State Road,42.3871132,-71.1409769,42.387142,-71.140809,9.0,13.0
Memorial Drive,42.3661728,-71.1159128,42.366279,-71.115914,8.0,12.0
Dr. Paul Dudley White Path,42.3536705,-71.11034,42.3536579,-71.1103657,2.0,3.0
Camelia Avenue,42.375004,-71.104921,42.375104,-71.104972,7.0,12.0
Washington Street,42.3793802,-71.0989246,42.3793891,-71.0988672,5.0,6.0
Upland Park,42.396847,-71.099456,42.396903,-71.099338,6.0,11.0
Ballord Street,42.363839,-71.113383,42.363877,-71.113001,23.0,32.0
Broad Canal Street,42.3629912,-71.0823311,42.3629779,-71.0823151,1.0,2.0
Cambridge Street,42.375888,-71.1176085,42.3758785,-71.1175601,260.0,299.0
Beacon Street,42.3751057,-71.1024965,42.3754246,-71.1029048,38.0,48.0
Grove Street,42.378518,-71.158957,42.378832,-71.158904,33.0,38.0
Massachusetts Avenue,42.404846,-71.141083,42.40461,-71.140788,25.0,36.0
Bent Street,42.367593,-71.0858273,42.3676078,-71.0859753,9.0,12.0
Soldiers Field Road,42.363725,-71.139551,42.363643,-71.139998,27.0,38.0
Cardinal Medeiros Avenue,42.3697398,-71.0898061,42.3703047,-71.0894818,47.0,66.0
Wendell Street,42.382102,-71.113588,42.381948,-71.114184,36.0,49.0
Dodge Street,42.365023,-71.11229,42.36535,-71.112208,26.0,37.0
Huron Avenue,42.380055,-71.152441,42.37999,-71.152218,15.0,20.0
Alewife Brook Parkway,42.3971928,-71.1411696,42.3973559,-71.1412109,24.0,19.0
Alewife Brook Parkway,42.3960021,-71.1407048,42.3958584,-71.1406669,12.0,16.0
Grozier Road,42.380482,-71.142297,42.380933,-71.142465,34.0,52.0
Linnaean Street,42.38483,-71.119464,42.3848238,-71.1193351,8.0,11.0
Concord Avenue,42.386525,-71.140136,42.386326,-71.139695,30.0,42.0
Washington Street,42.3793612,-71.1016964,42.3794039,-71.1014146,16.0,22.0
Jefferson Street,42.373207,-71.090478,42.373106,-71.089676,49.0,67.0
Buckingham Street,42.379952,-71.130008,42.380296,-71.129914,31.0,40.0
Concord Avenue,42.3896482,-71.1482778,42.3897689,-71.148853,33.0,48.0
Buckingham Street,42.3782571,-71.1291615,42.378553,-71.129341,27.0,37.0
Rogers Avenue,42.399507,-71.111316,42.399444,-71.111436,9.0,12.0
Follen Street,42.378755,-71.121006,42.37882,-71.12101,5.0,7.0
