lat,lng
42.0345662243,-87.7662599672
42.0345661638,-87.7625250059
42.0345661033,-87.7587900446
42.0345660427,-87.7550550832
42.0345659822,-87.7513201219
42.0345659216,-87.7475851606
42.0345658611,-87.7438501993
42.0345658005,-87.740115238
42.03456574,-87.7363802766
42.0345656795,-87.7326453153
42.0345656189,-87.728910354
42.0345655584,-87.7251753927
42.0345654978,-87.7214404314
42.0345654373,-87.7177054701
42.0345653768,-87.7139705089
42.0345653162,-87.7102355476
42.0345652557,-87.7065005863
42.0345651951,-87.702765625
42.0345651346,-87.6990306637
42.034565074,-87.6952957025
42.0345650135,-87.6915607412
42.034564953,-87.6878257799
42.0345648924,-87.6840908187
42.0345648319,-87.6803558574
42.0345647713,-87.6766208962
42.0345647108,-87.6728859349
42.0345646502,-87.6691509737
42.0345645897,-87.6654160124
42.0345645292,-87.6616810512
42.0345644686,-87.65794609
42.0345644081,-87.6542111287
42.0345643475,-87.6504761675
42.034564287,-87.6467412063
42.0345642264,-87.6430062451
42.0345641659,-87.6392712838
42.0345641054,-87.6355363226
42.0345640448,-87.6318013614
42.0345639843,-87.6280664002
42.0345639237,-87.624331439
42.0345638632,-87.6205964778
42.0345638027,-87.6168615166
42.0345637421,-87.6131265554
42.0345636816,-87.6093915942
42.034563621,-87.605656633
42.0345635605,-87.6019216719
42.0345634999,-87.5981867107
42.0345634394,-87.5944517495
42.0345633789,-87.5907167883
42.0345633183,-87.5869818272
42.0345632578,-87.583246866
42.0345631972,-87.5795119048
42.0345631367,-87.5757769437
42.0345630761,-87.5720419825
42.0345630156,-87.5683070214
42.0345629551,-87.5645720602
42.0345628945,-87.5608370991
42.034562834,-87.557102138
42.0345627734,-87.5533671768
42.0345627129,-87.5496322157
42.0345626524,-87.5458972546
42.0345625918,-87.5421622934
42.0345625313,-87.5384273323
42.0345624707,-87.5346923712
42.0345624102,-87.5309574101
42.0345623496,-87.527222449
42.0345622891,-87.5234874879
42.0345622286,-87.5197525268
42.034562168,-87.5160175657
42.0345621075,-87.5122826046
42.0345620469,-87.5085476435
42.0345619864,-87.5048126824
42.0345619258,-87.5010777213
42.0345618653,-87.4973427602
42.0345618048,-87.4936077991
42.031286968,-87.956743
42.0312869075,-87.9530082314
42.0312868469,-87.9492734627
42.0312867864,-87.9455386941
42.0312867259,-87.9418039255
42.0312866653,-87.9380691568
42.0312866048,-87.9343343882
42.0312865443,-87.9305996196
42.0312864837,-87.926864851
42.0312864232,-87.9231300824
42.0312863626,-87.9193953137
42.0312863021,-87.9156605451
42.0312862416,-87.9119257765
42.031286181,-87.9081910079
42.0312861205,-87.9044562393
42.03128606,-87.9007214708
42.0312859994,-87.8969867022
42.0312859389,-87.8932519336
42.0312858784,-87.889517165
42.0312858178,-87.8857823964
42.0312857573,-87.8820476279
42.0312856968,-87.8783128593
42.0312856362,-87.8745780907
42.0312855757,-87.8708433222
42.0312855152,-87.8671085536
42.0312854546,-87.863373785
42.0312853941,-87.8596390165
42.0312853335,-87.8559042479
42.031285273,-87.8521694794
42.0312852125,-87.8484347109
42.0312851519,-87.8446999423
42.0312850914,-87.8409651738
42.0312850309,-87.8372304052
42.0312849703,-87.8334956367
42.0312849098,-87.8297608682
42.0312848493,-87.8260260997
42.0312847887,-87.8222913312
42.0312847282,-87.8185565626
42.0312846677,-87.8148217941
42.0312846071,-87.8110870256
42.0312845466,-87.8073522571
42.0312844861,-87.8036174886
42.0312844255,-87.7998827201
42.031284365,-87.7961479516
42.0312843044,-87.7924131832
42.0312842439,-87.7886784147
42.0312841834,-87.7849436462
42.0312841228,-87.7812088777
42.0312840623,-87.7774741092
42.0312840018,-87.7737393408
42.0312839412,-87.7700045723
42.0312838807,-87.7662698038
42.0312838202,-87.7625350354
42.0312837596,-87.7588002669
42.0312836991,-87.7550654985
42.0312836386,-87.75133073
42.031283578,-87.7475959616
42.0312835175,-87.7438611931
42.031283457,-87.7401264247
42.0312833964,-87.7363916563
42.0312833359,-87.7326568878
42.0312832753,-87.7289221194
42.0312832148,-87.725187351
42.0312831543,-87.7214525826
42.0312830937,-87.7177178141
42.0312830332,-87.7139830457
42.0312829727,-87.7102482773
42.0312829121,-87.7065135089
42.0312828516,-87.7027787405
42.0312827911,-87.6990439721
42.0312827305,-87.6953092037
42.03128267,-87.6915744353
42.0312826095,-87.6878396669
42.0312825489,-87.6841048985
