39.190846,-96.071246,Riverside Drive,South 5th Street
40.7218599,-74.0053841,Canal Street,6th Avenue
40.7241485,-74.0045794,6th Avenue,Broome Street
40.713293,-74.0110356,Barclay Street,West Broadway
40.7117398,-74.0070873,Park Row,Barclay Street
40.7091466,-74.0105538,Broadway,Liberty Street
40.7138135,-74.0106077,West Broadway,Park Place
40.7243846,-74.0060309,Varick Street,Broome Street
40.7225258,-74.0063549,Varick Street,Canal Street
40.7093129,-74.0119548,Cedar Street,Trinity Place
40.7176842,-74.0057867,Leonard Street,Church Street
40.712108,-74.0102688,Church Street,Vesey Street
40.7250035,-74.0059223,Varick Street,Dominick Street
40.720422,-74.0066824,Beach St,Varick Street
40.7070869,-74.0134465,Trinity Place,Exchange Plaza
40.710902,-74.0036499,Gold Street,Frankfort Street
40.7090989,-74.0054976,Gold Street,Fulton Street
40.7074172,-74.0040953,Water Street,Fulton Street
40.7037105,-74.0070941,South Street,Gouverneur Lane
40.7280291,-74.0072362,King Street,Hudson Street
40.7079605,-74.0080134,William Street,Maiden Lane
40.7066607,-74.0159562,FDR Drive,West Street
40.7077804,-74.012986,Rector Street,Trinity Place
40.7261473,-74.0109067,Holland Tunnel,West Street
40.7234338,-74.0038506,Thompson Street,Watts Street
40.7264142,-74.0056899,Vandam Street,Varick Street
40.7232753,-74.0030027,West Broadway,Watts Street
40.7215607,-73.9889973,Stanton Street,Allen Street
40.7241975,-73.9926611,The Bowery,East Houston Street
40.7184265,-73.9948271,The Bowery,Grand Street
40.722314,-73.9932169,The Bowery,Prince Street
40.7228209,-73.9931674,The Bowery,Stanton Street
40.7190552,-73.9934108,Broome Street,Chrystie Street
40.7179852,-73.9999875,Centre Street,Canal Street
40.7184111,-74.0005723,Lafayette Street,Canal Street
40.7101763,-73.9965355,Catherine Slip,Catherine Street
40.7200098,-73.992885,Delancey Street,Chrystie Street
40.7238454,-73.9969725,Crosby Street,Prince Street
40.7136949,-73.9946235,East Broadway,Market Street
40.7178976,-73.9931063,Forsyth Street,Grand Street
40.7211412,-73.9965959,Mulberry Street,Kenmare Street
40.7110078,-74.0004677,Saint James Place,Pearl Street
40.7322406,-73.9963773,5th Avenue,West 8th Street
40.7328516,-73.9959039,5th Avenue,East 9th Street
40.7360246,-73.9978085,6th Avenue,West 12th Street
40.7323503,-74.0035267,Barrow Street,7th Avenue South
40.731893,-74.003791,Commerce Street,7th Avenue South
40.7396181,-74.0063725,Little West 12th Street,9th Avenue
40.736676,-73.9973593,West 13th Street,6th Avenue
40.7303117,-74.0025035,Carmine Street,Bleecker Street
40.7280633,-73.9989654,Laguardia Place,Bleecker Street
40.7298505,-74.0107417,West Street,Clarkson Street
40.7332923,-73.9933363,University Place,East 11th Street
40.7333662,-74.0026008,Grove Street,West 4th Street
40.729926,-73.997374,Laguardia Place,Washington Square South
40.7293036,-73.9979021,Laguardia Place,West 3rd Street
40.726964,-73.9998883,West Broadway,West Houston Street
40.7258318,-73.9975923,Mercer Street,West Houston Street
40.7306707,-73.998875,Washington Square South,Sullivan Street
40.727214,-74.0007024,Thompson Street,West Houston Street
40.7342446,-74.0029916,West 10th Street,West 4th Street
40.7352956,-74.0100237,West Street,West 11th Street
40.7375515,-74.0098349,West Street,West 12th Street
40.7191409,-73.9905582,Allen Street,Delancey Street
40.7173837,-73.9914667,Allen Street,Grand Street
40.7143633,-73.9902367,Rutgers Street,Canal Street
40.7185854,-73.9881712,Delancey Street,Essex Street
40.7221338,-73.9863498,Essex Street,East Houston Street
40.7189813,-73.9754172,Mangin Street,East Houston Street
40.7217653,-73.9846426,Suffolk Street,East Houston Street
40.7131495,-73.9838884,Gouverneur Street,Madison Street
40.7300043,-73.9835255,East 12th Street,1st Avenue
40.7239048,-73.987982,1st Avenue,East 2nd Street
40.7251682,-73.987066,1st Avenue,East 4th Street
40.7316417,-73.9854495,2nd Avenue,East 13th Street
40.7323264,-73.9849539,2nd Avenue,East 14th Street
40.7313075,-73.9886353,East 11th Street,3rd Avenue
40.7319508,-73.9881446,East 12th Street,3rd Avenue
40.7325835,-73.9876887,3rd Avenue,East 13th Street
40.7344163,-73.9899024,4th Avenue,East 14th Street
40.7229588,-73.9857604,Avenue A,East 2nd Street
40.7280742,-73.9790088,Avenue B,East 12th Street
40.7232396,-73.982514,Avenue B,East 4th Street
40.7277341,-73.9761638,East 13th Street,Avenue C
40.7248348,-73.9751624,Avenue D,East 10th Street
40.7199459,-73.9787082,Avenue D,East Houston Street
40.7314623,-74.0031495,Morton Street,Bleecker Street
40.7258049,-73.994471,Mulberry Street,Bleecker Street
40.7263337,-73.9917406,The Bowery,East 3rd Street
40.727087,-73.9915909,East 4th Street,The Bowery
40.7295146,-73.9899196,Cooper Square,Saint Marks Place
40.717488,-73.974989,Mangin Street,Stanton Street
40.7446369,-74.0063929,10th Avenue,West 18th Street
40.74769,-74.004168,West 23rd Street,10th Avenue
40.7520769,-74.0009782,10th Avenue,West 30th Street
40.7440382,-74.0085787,11th Avenue,West 16th Street
40.7501922,-74.006125,11th Avenue,West 25th Street
40.744009,-73.999422,8th Avenue,West 21st Street
40.7408486,-74.0051628,Hudson Street,West 14th Street
40.7465055,-74.0013705,West 23rd Street,9th Avenue
40.713173,-73.978181,Grand Street,FDR Drive
40.713173,-73.978181,Grand Street,FDR Drive
40.713173,-73.978181,Grand Street,FDR Drive
40.7313396,-73.9825657,1st Avenue,East 14th Street
40.7338178,-73.9807615,East 18th Street,1st Avenue
40.7368694,-73.9785366,East 23rd Street,1st Avenue
40.7375442,-73.9780538,1st Avenue,East 24th Street
40.7381569,-73.9775978,East 25th Street,1st Avenue
40.7365839,-73.9818317,East 21st Street,2nd Avenue
40.7372068,-73.9813867,East 22nd Street,2nd Avenue
40.7378794,-73.98092,East 23rd Street,2nd Avenue
40.7332802,-73.9871961,3rd Avenue,East 14th Street
40.7357748,-73.9853714,3rd Avenue,East 18th Street
40.7369465,-73.9845345,3rd Avenue,East 20th Street
40.7388313,-73.9831514,East 23rd Street,3rd Avenue
40.7431928,-73.9799447,East 30th Street,3rd Avenue
40.7360044,-73.993644,West 14th Street,5th Avenue
40.7379049,-73.9922319,5th Avenue,West 17th Street
40.7408679,-73.9900992,5th Avenue,West 22nd Street
40.7415437,-73.9895926,East 23rd Street,5th Avenue
