lat,lng
34.3513671132,-118.368383152
34.3513670414,-118.364180886
34.3513669696,-118.35997862
34.3513668978,-118.355776353
34.3513668261,-118.351574087
34.3513667543,-118.347371821
34.3513666825,-118.343169554
34.3513666107,-118.338967288
34.3513665389,-118.334765022
34.3513664671,-118.330562756
34.3513663953,-118.326360489
34.3513663235,-118.322158223
34.3513662517,-118.317955957
34.3513661799,-118.313753691
34.3513661081,-118.309551424
34.3513660364,-118.305349158
34.3513659646,-118.301146892
34.3513658928,-118.296944626
34.351365821,-118.292742359
34.3513657492,-118.288540093
34.3513656774,-118.284337827
34.3513656056,-118.280135561
34.3513655338,-118.275933295
34.351365462,-118.271731028
34.3513653902,-118.267528762
34.3513653185,-118.263326496
34.3513652467,-118.25912423
34.3513651749,-118.254921964
34.3513651031,-118.250719697
34.3513650313,-118.246517431
34.3513649595,-118.242315165
34.3513648877,-118.238112899
34.3513648159,-118.233910633
34.3513647441,-118.229708367
34.3513646723,-118.2255061
34.3513646006,-118.221303834
34.3513645288,-118.217101568
34.351364457,-118.212899302
34.3513643852,-118.208697036
34.3513643134,-118.20449477
34.3513642416,-118.200292503
34.3513641698,-118.196090237
34.351364098,-118.191887971
34.3513640262,-118.187685705
34.3513639544,-118.183483439
34.3513638827,-118.179281173
34.3513638109,-118.175078907
34.3513637391,-118.17087664
34.3513636673,-118.166674374
34.3513635955,-118.162472108
34.3513635237,-118.158269842
34.3513634519,-118.154067576
34.3513633801,-118.14986531
34.3513633083,-118.145663044
34.3513632365,-118.141460778
34.3513631648,-118.137258512
34.351363093,-118.133056246
34.3513630212,-118.128853979
34.3513629494,-118.124651713
34.3513628776,-118.120449447
34.3513628058,-118.116247181
34.351362734,-118.112044915
34.3513626622,-118.107842649
34.3513625904,-118.103640383
34.3513625186,-118.099438117
34.3513624469,-118.095235851
34.3513623751,-118.091033585
34.3513623033,-118.086831319
34.3467662,-118.712969
34.3467661282,-118.708766964
34.3467660564,-118.704564929
34.3467659847,-118.700362893
34.3467659129,-118.696160857
34.3467658411,-118.691958822
34.3467657693,-118.687756786
34.3467656976,-118.68355475
34.3467656258,-118.679352715
34.346765554,-118.675150679
34.3467654822,-118.670948643
34.3467654104,-118.666746608
34.3467653387,-118.662544572
34.3467652669,-118.658342536
34.3467651951,-118.654140501
34.3467651233,-118.649938465
34.3467650516,-118.64573643
34.3467649798,-118.641534394
34.346764908,-118.637332358
34.3467648362,-118.633130323
34.3467647644,-118.628928287
34.3467646927,-118.624726251
34.3467646209,-118.620524216
34.3467645491,-118.61632218
34.3467644773,-118.612120145
34.3467644056,-118.607918109
34.3467643338,-118.603716073
34.346764262,-118.599514038
34.3467641902,-118.595312002
34.3467641184,-118.591109967
34.3467640467,-118.586907931
34.3467639749,-118.582705896
34.3467639031,-118.57850386
34.3467638313,-118.574301824
34.3467637596,-118.570099789
34.3467636878,-118.565897753
34.346763616,-118.561695718
34.3467635442,-118.557493682
34.3467634724,-118.553291647
34.3467634007,-118.549089611
34.3467633289,-118.544887576
34.3467632571,-118.54068554
34.3467631853,-118.536483505
34.3467631136,-118.532281469
34.3467630418,-118.528079433
34.34676297,-118.523877398
34.3467628982,-118.519675362
34.3467628264,-118.515473327
34.3467627547,-118.511271291
34.3467626829,-118.507069256
34.3467626111,-118.50286722
34.3467625393,-118.498665185
34.3467624676,-118.494463149
34.3467623958,-118.490261114
34.346762324,-118.486059078
34.3467622522,-118.481857043
34.3467621804,-118.477655007
34.3467621087,-118.473452972
34.3467620369,-118.469250936
34.3467619651,-118.465048901
34.3467618933,-118.460846866
34.3467618216,-118.45664483
34.3467617498,-118.452442795
34.346761678,-118.448240759
34.3467616062,-118.444038724
34.3467615344,-118.439836688
34.3467614627,-118.435634653
34.3467613909,-118.431432617
34.3467613191,-118.427230582
34.3467612473,-118.423028546
34.3467611756,-118.418826511
34.3467611038,-118.414624476
34.346761032,-118.41042244
34.3467609602,-118.406220405
34.3467608884,-118.402018369
34.3467608167,-118.397816334
34.3467607449,-118.393614299
34.3467606731,-118.389412263
34.3467606013,-118.385210228
34.3467605296,-118.381008192
34.3467604578,-118.376806157
34.346760386,-118.372604122
34.3467603142,-118.368402086
34.3467602424,-118.364200051
34.3467601707,-118.359998015
34.3467600989,-118.35579598
34.3467600271,-118.351593945
34.3467599553,-118.347391909
34.3467598836,-118.343189874
34.3467598118,-118.338987839
34.34675974,-118.334785803
34.3467596682,-118.330583768
34.3467595964,-118.326381732
34.3467595247,-118.322179697
34.3467594529,-118.317977662
34.3467593811,-118.313775626
34.3467593093,-118.309573591
34.3467592376,-118.305371556
34.3467591658,-118.30116952
34.346759094,-118.296967485
34.3467590222,-118.29276545
34.3467589505,-118.288563414
34.3467588787,-118.284361379
34.3467588069,-118.280159344
34.3467587351,-118.275957309
34.3467586633,-118.271755273
34.3467585916,-118.267553238
34.3467585198,-118.263351203
34.346758448,-118.259149167
34.3467583762,-118.254947132
34.3467583045,-118.250745097
34.3467582327,-118.246543061
34.3467581609,-118.242341026
34.3467580891,-118.238138991
34.3467580173,-118.233936956
34.3467579456,-118.22973492
34.3467578738,-118.225532885
34.346757802,-118.22133085
34.3467577302,-118.217128815
34.3467576585,-118.212926779
