lat,lng
30.1391609666,-95.076929979
30.1391606684,-95.0680585439
30.1391603702,-95.0591871088
30.139160072,-95.0503156737
30.1391597737,-95.0414442387
30.1391594755,-95.0325728037
30.13267136,-95.910845
30.1326710619,-95.9019741482
30.1326707637,-95.8931032964
30.1326704656,-95.8842324446
30.1326701674,-95.8753615929
30.1326698693,-95.8664907412
30.1326695711,-95.8576198895
30.132669273,-95.8487490378
30.1326689748,-95.8398781862
30.1326686767,-95.8310073346
30.1326683785,-95.822136483
30.1326680804,-95.8132656314
30.1326677822,-95.8043947799
30.1326674841,-95.7955239284
30.1326671859,-95.7866530769
30.1326668878,-95.7777822255
30.1326665896,-95.7689113741
30.1326662915,-95.7600405227
30.1326659933,-95.7511696713
30.1326656952,-95.74229882
30.132665397,-95.7334279687
30.1326650989,-95.7245571174
30.1326648007,-95.7156862661
30.1326645026,-95.7068154149
30.1326642044,-95.6979445637
30.1326639063,-95.6890737125
30.1326636081,-95.6802028613
30.13266331,-95.6713320102
30.1326630118,-95.6624611591
30.1326627137,-95.653590308
30.1326624155,-95.644719457
30.1326621174,-95.635848606
30.1326618192,-95.626977755
30.1326615211,-95.618106904
30.1326612229,-95.6092360531
30.1326609248,-95.6003652022
30.1326606266,-95.5914943513
30.1326603285,-95.5826235004
30.1326600303,-95.5737526496
30.1326597322,-95.5648817988
30.132659434,-95.556010948
30.1326591359,-95.5471400973
30.1326588377,-95.5382692466
30.1326585396,-95.5293983959
30.1326582414,-95.5205275452
30.1326579433,-95.5116566945
30.1326576451,-95.5027858439
30.132657347,-95.4939149933
30.1326570488,-95.4850441428
30.1326567507,-95.4761732922
30.1326564525,-95.4673024417
30.1326561544,-95.4584315912
30.1326558562,-95.4495607408
30.1326555581,-95.4406898904
30.1326552599,-95.43181904
30.1326549618,-95.4229481896
30.1326546636,-95.4140773392
30.1326543655,-95.4052064889
30.1326540674,-95.3963356386
30.1326537692,-95.3874647884
30.1326534711,-95.3785939381
30.1326531729,-95.3697230879
30.1326528748,-95.3608522377
30.1326525766,-95.3519813876
30.1326522785,-95.3431105374
30.1326519803,-95.3342396873
30.1326516822,-95.3253688372
30.132651384,-95.3164979872
30.1326510859,-95.3076271372
30.1326507877,-95.2987562872
30.1326504896,-95.2898854372
30.1326501914,-95.2810145872
30.1326498933,-95.2721437373
30.1326495951,-95.2632728874
30.132649297,-95.2544020376
30.1326489988,-95.2455311877
30.1326487007,-95.2366603379
30.1326484025,-95.2277894881
30.1326481044,-95.2189186384
30.1326478062,-95.2100477886
30.1326475081,-95.2011769389
30.1326472099,-95.1923060892
30.1326469118,-95.1834352396
30.1326466136,-95.17456439
30.1326463155,-95.1656935404
30.1326460173,-95.1568226908
30.1326457192,-95.1479518413
30.132645421,-95.1390809917
30.1326451229,-95.1302101422
30.1326448247,-95.1213392928
30.1326445266,-95.1124684433
30.1326442284,-95.1035975939
30.1326439303,-95.0947267446
30.1326436321,-95.0858558952
30.132643334,-95.0769850459
30.1326430358,-95.0681141966
30.1326427377,-95.0592433473
30.1326424395,-95.050372498
30.1326421414,-95.0415016488
