394,82nd Avenue,Reedway Street
395,9th Avenue,Halsey Street
396,Lombard Street,Freeway
397,22nd Avenue,Kearney Street
398,Lloyd Boulevard,7th Avenue
399,Skidmore Street,Cleveland Avenue
400,Taylors Ferry,Plum Street
401,174th Avenue,Powell Boulevard
402,McLoughlin Boulevard,17th Avenue
403,Burnside Street,14th Avenue
404,Lombard Street,Heppner Avenue
405,Couch Street,12th Avenue
406,Hawthorne Boulevard,Maple Avenue
407,Everett Street,13th Avenue
408,Capitol Highway,26th Avenue
409,Stark Street,103rd Drive
410,Burnside Street,82nd Avenue
411,Halsey Street,40th Avenue
412,82nd Avenue,Russell Street
413,13th Avenue,Gaines Street
414,Alta Avenue,Ivanhoe Street
415,Flanders Street,28th Avenue
416,Sandy Boulevard,42nd Avenue
417,Palm Street,Maple Avenue
418,Division Street,50th Avenue
419,Everett Street,16th Avenue
420,Failing Street,Vancouver Avenue
421,Ankeny Street,14th Avenue
422,Sandy Boulevard,42nd Avenue
423,77th Avenue,Division Street
424,Pine Street,28th Avenue
425,Broadway,Martin Luther
426,Alberta Street,Martin Luther
427,Beaverton Avenue,Hillsboro Street
428,Division Street,96th Drive
429,Gladstone Street,30th Avenue
430,Mason Street,Haight Avenue
431,Killingsworth Street,Martin Luther
432,Grand Avenue,Bridge
433,Vaughn Street,25th Avenue
434,Taylor Street,7th Avenue
435,Thompson Street,82nd Avenue
436,Vista Avenue,Carter Lane
437,Broadway,6th Avenue
438,4th Avenue,College Street
439,Division Street,101st Avenue
440,Beaverton Hillsdale,30th Avenue
441,Skidmore Street,Kerby Avenue
442,Caruthers Street,Cesar E
443,Ellis Street,86th Avenue
444,Glisan Street,16th Avenue
445,Burnside Road,Skyline Boulevard
446,Broadway,28th Avenue
447,Irving Street,16th Avenue
448,Terwilliger Boulevard,Cheltenham Street
449,Russell Street,Rodney Avenue
450,Portsmouth Avenue,Willamette Boulevard
451,Fessenden Street,Tioga Avenue
452,Couch Street,Grand Avenue
453,Broadway,6th Avenue
454,Edgewood Road,Broadway Drive
455,Fremont Street,26th Avenue
456,205 Corridor,Bikepath Access
457,Broadway,30th Avenue
458,Burnside Street,70th Avenue
459,82nd Avenue,Insley Street
460,Woodward Street,26th Avenue
