45.5307944444,-122.661438889,Hassalo Street,Martin Luther
45.5365166667,-122.619922222,42nd Avenue,Hancock Street
45.4791638889,-122.607127778,Woodstock Boulevard,54th Avenue
45.5183244444,-122.561916667,Washington Street,96th Avenue
45.5312166667,-122.662675,Multnomah Street,3rd Avenue
45.5179,-122.645541667,20th Avenue,Alder Street
45.5352691667,-122.62195,Sandy Boulevard,40th Avenue
45.5348869444,-122.668809167,Broadway,Wheeler Avenue
45.5444888889,-122.537416667,122nd Avenue,Siskiyou Street
45.4975027778,-122.611144444,Powell Boulevard,Foster Road
45.5167583333,-122.601600278,Belmont Street,61st Avenue
45.5482666667,-122.661908333,Fremont Street,Martin Luther
45.5343530556,-122.659088889,Weidler Street,7th Avenue
45.5377805556,-122.621952778,Tillamook Street,40th Avenue
45.5193425,-122.653616667,Stark Street,12th Avenue
45.5149277778,-122.677327778,Madison Street,3rd Avenue
45.5467666667,-122.667960278,Cook Street,Vancouver Avenue
45.5124638889,-122.667899167,Freeway,Bridge
45.5262777778,-122.615,47th Avenue,Glisan Street
45.5168713889,-122.676072222,Taylor Street,3rd Avenue
45.5771305556,-122.6975,Lombard Street,Villard Avenue
45.5469111111,-122.667959444,Vancouver Avenue,Cook Street
45.526675,-122.623338889,Cesar E,Glisan Street
45.4852888889,-122.572269444,88th Avenue,Steele Street
45.5256138889,-122.646305556,Sandy Boulevard,19th Avenue
45.5048138889,-122.645627778,20th Avenue,Division Street
45.5222611111,-122.515788889,Burnside Street,143rd Avenue
45.5053805556,-122.583688611,77th Avenue,Division Street
45.5149277778,-122.677327778,Madison Street,3rd Avenue
45.5545861111,-122.666752778,Williams Avenue,Skidmore Street
45.53085,-122.632811111,31st Avenue,Sandy Boulevard
45.5041944444,-122.548,Division Street,112th Avenue
45.5467805556,-122.667960278,Cook Street,Vancouver Avenue
45.5184883333,-122.694727778,Jefferson Street,20th Avenue
45.5137583333,-122.684348611,Market Street,Park Avenue
45.4787666667,-122.564758333,Foster Road,96th Avenue
45.52365,-122.6607,Couch Street,Grand Avenue
45.4722805556,-122.579061111,82nd Avenue,Bybee Boulevard
45.4832305556,-122.537952778,122nd Avenue,Harold Street
45.50405,-122.528188889,Division Street,131st Avenue
45.5143305556,-122.645558333,Salmon Street,20th Avenue
45.512225,-122.658,Hawthorne Boulevard,8th Avenue
45.5662694444,-122.650033611,15th Avenue,Ainsworth Street
45.5014222222,-122.578677778,82nd Avenue,Woodward Street
45.5590194444,-122.675,Albina Avenue,Alberta Street
45.4845694444,-122.583488889,Foster Road,78th Avenue
45.51802,-122.680338889,Broadway,Taylor Street
45.5735694444,-122.696525,Bryant Street,Atlantic Avenue
45.4897527778,-122.549036111,111th Avenue,Holgate Boulevard
45.4761472222,-122.702399444,Vermont Street,Capitol Highway
45.4879666667,-122.578838889,Schiller Street,82nd Avenue
45.4903361111,-122.651155278,Milwaukie Avenue,Holgate Boulevard
45.5121305556,-122.67545,Clay Street,Naito Parkway
45.5428277778,-122.6681275,Vancouver Avenue,Graham Street
45.5453583333,-122.666652778,Monroe Street,Williams Avenue
45.5682888889,-122.657333333,8th Avenue,Holman Street
45.5348869444,-122.668809167,Broadway,Wheeler Avenue
45.5229083333,-122.653088889,Burnside Street,Sandy Boulevard
45.5043861111,-122.562438889,Division Street,98th Avenue
45.5480611111,-122.537341667,122nd Avenue,Fremont Street
45.5221611111,-122.641438889,24th Avenue,Ankeny Street
45.5046472222,-122.576675,Division Street,84th Avenue
45.5231277778,-122.673366667,3rd Avenue,Burnside Street
45.5008666667,-122.680919444,Woods Street,Barbur Boulevard
45.5022861111,-122.681719444,Hooker Street,Barbur Boulevard
45.4656833333,-122.748230556,69th Avenue,Garden Home
45.4931777778,-122.603658333,Gladstone Street,Foster Road
45.4702555556,-122.579047222,82nd Avenue,Knapp Street
45.6101583333,-122.795608333,Saint Helens,Marina Way
45.5351,-122.666745556,Broadway,Williams Avenue
45.5040777778,-122.534361111,Division Street,125th Avenue
45.4862,-122.676763889,Corbett Avenue,Richardson Court
45.5772222222,-122.677497222,Lombard Street,Freeway
45.524525,-122.674436111,Davis Street,4th Avenue
45.4830472222,-122.597177778,Harold Street,65th Avenue
45.4759472222,-122.723138889,45th Avenue,Vermont Street
45.5122138889,-122.654980556,Hawthorne Boulevard,11th Avenue
45.5140194444,-122.682511111,Clay Street,Broadway
45.5120777778,-122.640308333,Hawthorne Boulevard,25th Avenue
45.5053388889,-122.581880556,79th Avenue,Division Street
45.5350972222,-122.664680556,Broadway,1st Avenue
45.5447805556,-122.677588889,Interstate Avenue,Greeley Avenue
45.5250972222,-122.615013889,47th Avenue,Everett Street
45.5193105556,-122.634819444,Stark Street,30th Avenue
45.5062472222,-122.650360833,Orange Avenue,Birch Street
45.5206611111,-122.673102778,Oak Street,2nd Avenue
45.478325,-122.695616667,Capitol Highway,Beaverton Hillsdale
45.5006002778,-122.684001667,Sam Jackson,Campus Drive
45.5348866667,-122.66881,Broadway,Wheeler Avenue
45.5453472222,-122.661608333,Martin Luther,Monroe Street
45.5143222222,-122.64555,20th Avenue,Salmon Street
45.4782444444,-122.594461111,Carlton Street,67th Avenue
45.46865,-122.610005556,52nd Avenue,Flavel Street
45.5664361111,-122.606583333,Ainsworth Street,55th Avenue
45.5263472222,-122.568638889,Glisan Street,92nd Avenue
45.5374805556,-122.656555556,9th Avenue,Tillamook Street
45.5582694444,-122.6204,Alberta Court,42nd Avenue
